"Product Name"," Product Code"," Expected"," Counted"
"گل احمد",250,15,
"انمول ہیرا",206,14,
"انمول ہیرا",206,7,
"انمول ہیرا",206,3,
"گل احمد",250,0,
"گل احمد",250,0,
"گل احمد",250,1,
"انمول ہیرا",206,2,
"انمول ہیرا",206,2,
"انمول ہیرا",206,1,
"انمول ہیرا",206,1,
"آن لاين",118,38,
"آن لاين",118,4,
"آن لاين",118,1,
"آن لاين",118,1,
"آن لاين",118,2,
